customer_id,name_en,national_id,partner_customer_name,requested_wallet
CUST100032,Ahmed Fouad,SYN558040736576,Ahmed Fouad,YES
CUST100033,Dina Mahmoud,SYN916377694218,Dina Mahmoud,YES
CUST100034,Esraa Ahmed,SYN477370889135,Esraa Ahmed,YES
CUST100035,Ahmed Omar,SYN682364618328,Ahmed Omar,YES
CUST100036,Esraa Kamal,SYN408126189970,Esraa Kamal,YES
CUST100037,Aya Ahmed,SYN467341001407,Aya Ahmed,YES
CUST100038,Ali Abdallah,SYN496045097410,Ali Abdallah,YES
CUST100039,Karim Youssef,SYN213226316481,Karim Youssef,YES
CUST100040,Omar Fouad,SYN182551311153,Omar Fouad,YES
CUST100041,Yasmine Youssef,SYN700740930832,Yasmine Youssef,YES
CUST100042,Khaled Abdallah,SYN689965964508,Khaled Abdallah,YES
CUST100043,Mariam Mohamed,SYN696618742789,Mariam Mohamed,YES
CUST100044,Ahmed Fouad,SYN117789800808,Ahmed Fouad,YES
CUST100045,Abdelrahman Hassan,SYN393892158404,Abdelrahman Hassan,YES
CUST100046,Nour Hussein,SYN278028862533,Nour Hussein,YES
CUST100047,Esraa Mansour,SYN800336280289,Esraa Mansour,YES
CUST100048,Mostafa Fouad,SYN874567361256,Mostafa Fouad,YES
CUST100049,Yasmine Ali,SYN322012339503,Yasmine Ali,YES
CUST100050,Yasmine Ibrahim,SYN701064242963,Yasmine Ibrahim,YES
CUST100051,Omar Mohamed,SYN216426523112,Omar Mohamed,YES
CUST100052,Mariam Ibrahim,SYN347637273041,Mariam Ibrahim,YES
CUST100053,Mona Mourad,SYN224789046610,Mona Mourad,YES
CUST100054,Mona Ali,SYN355168689939,Mona Ali,YES
CUST100055,Mohamed Mourad,SYN707262892614,Mohamed Mourad,YES
CUST100056,Heba Abdallah,SYN919294219166,Heba Abdallah,YES
CUST100057,Omar Omar,SYN282270167131,Omar Omar,YES
CUST100058,Khaled Abdallah,SYN587871131455,Khaled Abdallah,YES
CUST100059,Mostafa Mahmoud,SYN731251991119,Mostafa Mahmoud,YES
CUST100060,Abdullah Omar,SYN957630221637,Abdullah Omar,YES
CUST100061,Khaled Fouad,SYN649054434598,Khaled Fouad,YES
CUST100062,Mariam Hassan,SYN329596237924,Mariam Hassan,YES
CUST100063,Abdelrahman Fouad,SYN662930341222,Abdelrahman Fouad,YES
CUST100064,Nour Omar,SYN388442045510,Nour Omar,YES
CUST100065,Sara Mohamed,SYN978515551622,Sara Mohamed,YES
CUST100066,Abdullah Kamal,SYN459708521647,Abdullah Kamal,YES
CUST100067,Mariam Mansour,SYN716884948684,Mariam Mansour,YES
CUST100068,Ahmed Mohamed,SYN120904824112,Ahmed Mohamed,YES
CUST100069,Mona Ahmed,SYN460055301521,Mona Ahmed,YES
CUST100070,Yasmine Fouad,SYN887596851990,Yasmine Fouad,YES
CUST100071,Omar Hussein,SYN649204699989,Omar Hussein,YES
CUST100072,Mona Omar,SYN499548597756,Mona Omar,YES
CUST100073,Mahmoud Ibrahim,SYN942343749492,Mahmoud Ibrahim,YES
CUST100074,Mostafa Ibrahim,SYN868585938532,Mostafa Ibrahim,YES
CUST100075,Mona Hassan,SYN389994106440,Mona Hassan,YES
CUST100076,Sara Fouad,SYN590093561837,Sara Fouad,YES
CUST100077,Youssef Hassan,SYN540841830483,Youssef Hassan,YES
CUST100078,Dina Abdallah,SYN668982250103,Dina Abdallah,YES
CUST100079,Mostafa Youssef,SYN400700140262,Mostafa Youssef,YES
CUST100080,Abdullah Kamal,SYN319784500689,Abdullah Kamal,YES
CUST100081,Nour Mourad,SYN921404651729,Nour Mourad,YES
CUST100082,Omar Mourad,SYN931487049548,Omar Mourad,YES
CUST100083,Aya Salem,SYN858990597185,Aya Salem,YES
CUST100084,Karim Hussein,SYN980383987688,Karim Hussein,YES
CUST100085,Khaled Youssef,SYN770492373201,Khaled Youssef,YES
CUST100086,Ahmed Youssef,SYN788200505705,Ahmed Youssef,YES
CUST100087,Sara Mourad,SYN786331082766,Sara Mourad,YES
CUST100088,Yasmine Mansour,SYN532546867848,Yasmine Mansour,YES
CUST100089,Aya Hassan,SYN510806975062,Aya Hassan,YES
CUST100090,Nour Ibrahim,SYN316203648534,Nour Ibrahim,YES
CUST100091,Aya Abdallah,SYN680337274923,Aya Abdallah,YES
CUST100092,Aya Youssef,SYN360388122492,Aya Youssef,YES
CUST100093,Mariam Mohamed,SYN332027568732,Mariam Mohamed,YES
CUST100094,Esraa Mahmoud,SYN627365236686,Esraa Mahmoud,YES
CUST100095,Ali Ali,SYN468984149402,Ali Ali,YES
CUST100096,Youssef Youssef,SYN296970947915,Youssef Youssef,YES
CUST100097,Mostafa Omar,SYN834450415077,Mostafa Omar,YES
CUST100098,Karim Ahmed,SYN874512927364,Karim Ahmed,YES
CUST100099,Mahmoud Abdallah,SYN250929567710,Mahmoud Abdallah,YES
CUST100100,Aya Ibrahim,SYN106756329519,Aya Ibrahim,YES
CUST100101,Omar Ibrahim,SYN402516971676,Omar Ibrahim,YES
CUST100102,Aya Kamal,SYN817759752112,Aya Kamal,YES
CUST100103,Mohamed Hassan,SYN855256479610,Mohemed Hassan,YES
CUST100104,Yasmine Mahmoud,SYN224496163104,Yasmine Mahmoud,YES
CUST100105,Yasmine Hassan,SYN796902311064,Yasmine Hassan,YES
CUST100106,Yasmine Hussein,SYN204133750578,Yasmine Hussein,YES
CUST100107,Mostafa Kamal,SYN451056331140,Mostafa Kamal,YES
CUST100108,Mona Mourad,SYN998748563510,Mona Mourad,YES
CUST100109,Khaled Ahmed,SYN273331740907,Khaled Ahmed,YES
CUST100110,Ali Mansour,SYN238567224319,Ali Mansour,YES
CUST100111,Yasmine Hussein,SYN480520299292,Yasmine Hussein,YES
CUST100112,Dina Hassan,SYN657701673372,Dina Hassan,YES
CUST100113,Mona Mahmoud,SYN939610704171,Mona Mahmoud,YES
CUST100114,Heba Hassan,SYN982739030979,Heba Hassan,YES
CUST100115,Dina Ibrahim,SYN162676572932,Dina Ibrahim,YES
CUST100116,Mohamed Mourad,SYN224197765613,Mohamed Mourad,YES
CUST100117,Mahmoud Salem,SYN811664176506,Mahmoud Salem,YES
CUST100118,Youssef Fouad,SYN343568937043,Youssef Fouad,YES
CUST100119,Mahmoud Ibrahim,SYN896364153555,Mahmoud Ibrahim,YES
CUST100120,Nour Ahmed,SYN697107931506,Nour Ahmed,YES
CUST100121,Mostafa Ali,SYN200660322142,Mostafa Ali,YES
CUST100122,Mostafa Mahmoud,SYN849276356431,Mostafa Mahmoud,YES
CUST100123,Mona Hussein,SYN258720742007,Mona Hussein,YES
CUST100124,Esraa Youssef,SYN481145855211,Esraa Youssef,YES
CUST100125,Dina Youssef,SYN596966435703,Dina Youssef,YES
CUST100126,Ahmed Youssef,SYN550689534172,Ahmed Youssef,YES
CUST100127,Yasmine Mansour,SYN717546624053,Yasmine Mansour,YES
CUST100128,Dina Salem,SYN687418061382,Dina Salem,YES
CUST100129,Karim Mansour,SYN992837804975,Karim Mansour,YES
CUST100130,Dina Abdallah,SYN999479718301,Dina Abdallah,YES
CUST100131,Dina Fouad,SYN564813462372,Dina Fouad,YES
CUST100132,Ahmed Omar,SYN185679178264,Ahmed Omar,YES
CUST100133,Dina Omar,SYN755058969071,Dina Omar,YES
CUST100134,Yasmine Mansour,SYN978997670394,Yasmine Mansour,YES
CUST100135,Sara Ahmed,SYN386493748866,Sara Ahmed,YES
CUST100136,Karim Fouad,SYN515087997253,Karim Fouad,YES
CUST100137,Mohamed Mohamed,SYN482299232333,Mohamed Mohamed,YES
CUST100138,Sara Omar,SYN146277239101,Sara Omar,YES
CUST100139,Nour Salem,SYN705037988101,Nour Salem,YES
CUST100140,Abdelrahman Kamal,SYN418003925561,Abdelrahman Kamal,YES
CUST100141,Youssef Mohamed,SYN808717487168,Youssef Mohamed,YES
CUST100142,Ali Kamal,SYN848908067753,Ali Kamal,YES
CUST100143,Nour Youssef,SYN839107707938,Nour Youssef,YES
CUST100144,Abdelrahman Mahmoud,SYN474999398235,Abdelrahman Mahmoud,YES
CUST100145,Esraa Ibrahim,SYN389391114016,Esraa Ibrahim,YES
CUST100146,Mohamed Ibrahim,SYN773938701700,Mohamed Ibrahim,YES
CUST100147,Youssef Omar,SYN821250490458,Youssef Omar,YES
CUST100148,Aya Fouad,SYN542131701752,Aya Fouad,YES
CUST100149,Ahmed Youssef,SYN903727917582,Ahmed Youssef,YES
CUST100150,Esraa Mohamed,SYN229517826470,Esraa Mohamed,YES
CUST100151,Ali Ibrahim,SYN891161901693,Ali Ibrahim,YES
CUST100152,Abdullah Abdallah,SYN186485709674,Abdullah Abdallah,YES
CUST100153,Ali Kamal,SYN238172969849,Ali Kamal,YES
CUST100154,Nour Mahmoud,SYN580456011946,Nour Mahmoud,YES
CUST100155,Mostafa Salem,SYN160766632168,Mostafa Salem,YES
CUST100156,Mahmoud Ali,SYN147526391260,Mahmoud Ali,YES
CUST100157,Dina Youssef,SYN100466869749,Dina Youssef,YES
CUST100158,Heba Mohamed,SYN492684993724,Heba Mohamed,YES
CUST100159,Yasmine Mohamed,SYN797161493163,Yasmine Mohamed,YES
CUST100160,Abdelrahman Salem,SYN131354515251,Abdelrahman Salem,YES
CUST100161,Mostafa Ibrahim,SYN687031845819,Mostafa Ibrahim,YES
CUST100162,Nour Youssef,SYN840814585674,Nour Youssef,YES
CUST100163,Nour Ibrahim,SYN251200763720,Nour Ibrahim,YES
CUST100164,Nour Ibrahim,SYN232177361339,Nour Ibrahim,YES
CUST100165,Aya Ali,SYN874720876258,Aya Ali,YES
CUST100166,Sara Ahmed,SYN840812148955,Sara Ahmed,YES
CUST100167,Omar Mohamed,SYN585047589637,Omar Mohamed,YES
CUST100168,Sara Mourad,SYN837279891364,Sara Mourad,YES
CUST100169,Mohamed Kamal,SYN183480469682,Mohamed Kamal,YES
CUST100170,Mahmoud Mansour,SYN455033366144,Mahmoud Mansour,YES
CUST100171,Ahmed Mansour,SYN764017800495,Ahmed Mansour,YES
CUST100172,Yasmine Mohamed,SYN331706763391,Yasmine Mohamed,YES
CUST100173,Khaled Hassan,SYN777096022990,Khaled Hassan,YES
CUST100174,Mostafa Ahmed,SYN553760743951,Mostafa Ahmed,YES
CUST100175,Mona Mohamed,SYN775239389153,Mona Mohamed,YES
CUST100176,Khaled Mahmoud,SYN518211674071,Khaled Mahmoud,YES
CUST100177,Omar Hassan,SYN431113906199,Omar Hassan,YES
CUST100178,Abdullah Hussein,SYN297270294830,Abdullah Hussein,YES
CUST100179,Heba Ahmed,SYN287541407291,Heba Ahmed,YES
CUST100180,Abdullah Mansour,SYN776341729514,Abdullah Mansour,YES
CUST100181,Omar Kamal,SYN207019313230,Omar Kamal,YES
CUST100182,Mona Fouad,SYN177384115099,Mona Fouad,YES
CUST100183,Mostafa Abdallah,SYN258662228519,Mostafa Abdallah,YES
CUST100184,Mona Abdallah,SYN257811860308,Mona Abdallah,YES
CUST100185,Nour Mahmoud,SYN840796860526,Nour Mahmoud,YES
CUST100186,Omar Hassan,SYN458655961126,Omar Hassan,YES
CUST100187,Mariam Salem,SYN991349611624,Mariam Salem,YES
CUST100188,Youssef Salem,SYN223490132011,Youssef Salem,YES
CUST100189,Sara Ahmed,SYN688185843124,Sara Ahmed,YES
CUST100190,Mostafa Abdallah,SYN503856556481,Mostafa Abdallah,YES
CUST100191,Karim Mahmoud,SYN453626359027,Karim Mahmoud,YES
CUST100192,Karim Hassan,SYN887575779148,Karim Hassan,YES
CUST100193,Mariam Fouad,SYN978036081245,Mariam Fouad,YES
CUST100194,Abdelrahman Ibrahim,SYN885573062896,Abdelrahman Ibrahim,YES
CUST100195,Ahmed Mansour,SYN273070611131,Ahmed Mansour,YES
CUST100196,Sara Fouad,SYN298718129088,Sara Fouad,YES
CUST100197,Mahmoud Mourad,SYN690466491185,Mahmoud Mourad,YES
CUST100198,Sara Youssef,SYN360175223474,Sara Youssef,YES
CUST100199,Abdelrahman Mansour,SYN761252617702,Abdelrahman Mansour,YES
CUST100200,Mariam Kamal,SYN609778585728,Mariam Kamal,YES
CUST100201,Abdullah Ibrahim,SYN595817891641,Abdullah Ibrahim,YES
CUST100202,Mona Mourad,SYN845692232354,Mona Mourad,YES
CUST100203,Mostafa Omar,SYN739479494568,Mostafa Omar,YES
CUST100204,Mona Mansour,SYN123919988497,Mona Mansour,YES
CUST100205,Ali Kamal,SYN144513223431,Ali Kamal,YES
CUST100206,Yasmine Ibrahim,SYN641402607210,Yasmine Ibrahim,YES
CUST100207,Abdelrahman Fouad,SYN537572868060,Abdelrahman Fouad,YES
CUST100208,Ali Mahmoud,SYN334166189808,Ali Mahmoud,YES
CUST100209,Yasmine Mourad,SYN476790478583,Yasmine Mourad,YES
CUST100210,Ali Mansour,SYN782119286859,Ali Mansour,YES
CUST100211,Khaled Omar,SYN843950336192,Khaled Omar,YES
CUST100212,Yasmine Abdallah,SYN605100761101,Yasmine Abdallah,YES
CUST100213,Nour Kamal,SYN446832532771,Nour Kamal,YES
CUST100214,Khaled Ali,SYN343627085345,Khaled Ali,YES
CUST100215,Ali Ali,SYN569726623692,Ali Ali,YES
CUST100216,Ahmed Ibrahim,SYN383274656707,Ahmed Ibrahim,YES
CUST100217,Ahmed Fouad,SYN607685623342,Ahmed Fouad,YES
CUST100218,Nour Youssef,SYN708987144258,Nour Youssef,YES
CUST100219,Abdullah Abdallah,SYN159471289827,Abdullah Abdallah,YES
CUST100220,Mahmoud Mansour,SYN100960718520,Mahmoud Mansour,YES
CUST100221,Mona Salem,SYN291049424956,Mona Salem,YES
CUST100222,Khaled Mourad,SYN905060347946,Khaled Mourad,YES
CUST100223,Youssef Mansour,SYN681661686905,Youssef Mansour,YES
CUST100224,Khaled Abdallah,SYN254764316743,Khaled Abdallah,YES
CUST100225,Sara Mourad,SYN901237565641,Sara Mourad,YES
CUST100226,Aya Ali,SYN522960346258,Aya Ali,YES
CUST100227,Dina Mourad,SYN528482581010,Dina Mourad,YES
CUST100228,Heba Hassan,SYN941987749458,Heba Hassan,YES
CUST100229,Omar Mahmoud,SYN153538022965,Omar Mahmoud,YES
CUST100230,Mona Youssef,SYN293660447165,Mona Youssef,YES
CUST100231,Esraa Omar,SYN627194192639,Esraa Omar,YES
CUST100232,Mohamed Mourad,SYN275937858623,Mohamed Mourad,YES
CUST100233,Yasmine Omar,SYN711574308288,Yasmine Omar,YES
CUST100234,Mona Mansour,SYN292683060403,Mona Mansour,YES
CUST100235,Khaled Mohamed,SYN189241273538,Khaled Mohamed,YES
CUST100236,Mostafa Ahmed,SYN286286643676,Mostafa Ahmed,YES
CUST100237,Nour Ali,SYN480460630844,Nour Ali,YES
CUST100238,Sara Mahmoud,SYN258524469255,Sara Mahmoud,YES
CUST100239,Karim Ahmed,SYN221222822431,Karim Ahmed,YES
CUST100240,Mahmoud Ibrahim,SYN874253697597,Mahmoud Ibrahim,YES
CUST100241,Dina Omar,SYN388357483237,Dina Omar,YES
CUST100242,Ahmed Mourad,SYN424682817866,Ahmed Mourad,YES
CUST100243,Karim Ibrahim,SYN149743368551,Karim Ibrahim,YES
CUST100244,Karim Kamal,SYN421632661151,Karim Kamal,YES
CUST100245,Ahmed Mourad,SYN338326459589,Ahmed Mourad,YES
CUST100246,Yasmine Youssef,SYN649436560607,Yasmine Youssef,YES
CUST100247,Nour Abdallah,SYN284851267905,Nour Abdallah,YES
CUST100248,Yasmine Mahmoud,SYN899528907756,Yasmine Mahmoud,YES
CUST100249,Mohamed Mourad,SYN936699958827,Mohamed Mourad,YES
CUST100250,Omar Hussein,SYN189847951459,Omar Hussein,YES
CUST100251,Mona Abdallah,SYN196662660659,Mona Abdallah,YES
CUST100252,Omar Ali,SYN203793794299,Omar Ali,YES
CUST100253,Sara Omar,SYN657612330679,Sara Omar,YES
CUST100254,Mostafa Mansour,SYN209772067788,Mostafa Mansour,YES
CUST100255,Mahmoud Ali,SYN867144086137,Mahmoud Ali,YES
CUST100256,Mostafa Hussein,SYN778844363444,Mostafa Hussein,YES
CUST100257,Mahmoud Salem,SYN837827972414,Mahmoud Salem,YES
CUST100258,Omar Salem,SYN573454474197,Omar Salem,YES
CUST100259,Dina Youssef,SYN997009490367,Dina Youssef,YES
CUST100260,Yasmine Hussein,SYN139757592649,Yasmine Hussein,YES
CUST100261,Omar Kamal,SYN461138467767,Omar Kamal,YES
CUST100262,Ali Abdallah,SYN391543002043,Ali Abdallah,YES
CUST100263,Abdullah Youssef,SYN953780948841,Abdullah Youssef,YES
CUST100264,Abdelrahman Hussein,SYN619174862647,Abdelrahman Hussein,YES
CUST100265,Dina Ahmed,SYN825571868900,Dina Ahmed,YES
CUST100266,Nour Ahmed,SYN253307074292,Nour Ahmed,YES
CUST100267,Sara Mohamed,SYN980770729510,Sara Mohamed,YES
CUST100268,Karim Mourad,SYN548775592188,Karim Mourad,YES
CUST100269,Dina Ahmed,SYN544304868643,Dina Ahmed,YES
CUST100270,Ali Mohamed,SYN973796255691,Ali Mohamed,YES
CUST100271,Mohamed Ali,SYN442659125095,Mohamed Ali,YES
CUST100272,Omar Kamal,SYN457772522099,Omar Kamal,YES
CUST100273,Abdelrahman Fouad,SYN626277432524,Abdelrahman Fouad,YES
CUST100274,Nour Omar,SYN215247349493,Nour Omar,YES
CUST100275,Mona Fouad,SYN388977063770,Mona Fouad,YES
CUST100276,Mona Mansour,SYN273887490200,Mona Mansour,YES
CUST100277,Yasmine Omar,SYN192955131196,Yasmine Omar,YES
CUST100278,Ahmed Ahmed,SYN879530145697,Ahmed Ahmed,YES
CUST100279,Ahmed Youssef,SYN630398049514,Ahmed Youssef,YES
CUST100280,Ali Omar,SYN422805512375,Ali Omar,YES
CUST100281,Mona Omar,SYN467802439630,Mona Omar,YES
CUST100282,Mostafa Mohamed,SYN488367103318,Mostafa Mohamed,YES
CUST100283,Mona Youssef,SYN669834263930,Mona Youssef,YES
CUST100284,Nour Mohamed,SYN934092452340,Nour Mohamed,YES
CUST100285,Abdullah Ahmed,SYN939501657691,Abdullah Ahmed,YES
CUST100286,Omar Kamal,SYN452342781577,Omar Kamal,YES
CUST100287,Dina Hussein,SYN396336213637,Dine Hussein,YES
CUST100288,Heba Ali,SYN505941850166,Heba Ali,YES
CUST100289,Mona Mansour,SYN611140807385,Mona Mansour,YES
CUST100290,Aya Hussein,SYN515636120304,Aya Hussein,YES
CUST100291,Ali Youssef,SYN692878068835,Ali Youssef,YES
CUST100292,Abdelrahman Abdallah,SYN598959121041,Abdelrahman Abdallah,YES
CUST100293,Sara Ahmed,SYN388643992024,Sara Ahmed,YES
CUST100294,Heba Mourad,SYN411157725186,Heba Mourad,YES
CUST100295,Heba Ibrahim,SYN440733508803,Heba Ibrahim,YES
CUST100296,Aya Hussein,SYN185175791424,Aya Hussein,YES
CUST100297,Nour Fouad,SYN249456369172,Nour Fouad,YES
CUST100298,Ali Ibrahim,SYN750802421930,Ali Ibrahim,YES
CUST100299,Mohamed Ahmed,SYN450187040369,Mohamed Ahmed,YES
CUST100300,Mariam Omar,SYN293085075304,Mariam Omar,YES
CUST100301,Aya Abdallah,SYN606405169517,Aya Abdallah,YES
CUST100302,Mohamed Fouad,SYN779985588226,Mohamed Fouad,YES
CUST100303,Esraa Kamal,SYN331680126110,Esraa Kamal,YES
CUST100304,Heba Mansour,SYN844110893731,Heba Mansour,YES
CUST100305,Mahmoud Fouad,SYN934754373662,Mahmoud Fouad,YES
CUST100306,Sara Hussein,SYN637655076166,Sara Hussein,YES
CUST100307,Dina Hussein,SYN702052893092,Dina Hussein,YES
CUST100308,Sara Abdallah,SYN147318391290,Sara Abdallah,YES
CUST100309,Mahmoud Youssef,SYN950967901919,Mahmoud Youssef,YES
CUST100310,Mostafa Ibrahim,SYN453236260838,Mostafa Ibrahim,YES
CUST100311,Mostafa Mohamed,SYN931510360490,Mostafa Mohamed,YES
CUST100312,Mahmoud Omar,SYN621079772275,Mahmoud Omar,YES
CUST100313,Ali Youssef,SYN104156918958,Ali Youssef,YES
CUST100314,Youssef Kamal,SYN134687799391,Youssef Kamal,YES
CUST100315,Mostafa Mahmoud,SYN712376925102,Mostafa Mahmoud,YES
CUST100316,Khaled Fouad,SYN606401212448,Khaled Fouad,YES
CUST100317,Khaled Salem,SYN123879193485,Khaled Salem,YES
CUST100318,Abdullah Abdallah,SYN769113965100,Abdullah Abdallah,YES
CUST100319,Yasmine Mohamed,SYN866930803362,Yasmine Mohamed,YES
CUST100320,Sara Ali,SYN546775734195,Sara Ali,YES
CUST100321,Mahmoud Mahmoud,SYN519181696321,Mahmoud Mahmoud,YES
CUST100322,Karim Salem,SYN104925797951,Karim Salem,YES
CUST100323,Abdullah Kamal,SYN807984741244,Abdullah Kamal,YES
CUST100324,Abdelrahman Youssef,SYN397644460071,Abdelrahman Youssef,YES
CUST100325,Youssef Hassan,SYN890887257804,Youssef Hassan,YES
CUST100326,Youssef Fouad,SYN435754528802,Youssef Fouad,YES
CUST100327,Mohamed Ali,SYN608570119567,Mohamed Ali,YES
CUST100328,Mahmoud Fouad,SYN343307609379,Mahmoud Fouad,YES
CUST100329,Dina Mohamed,SYN244529481326,Dina Mohamed,YES
CUST100330,Heba Abdallah,SYN797417113043,Heba Abdallah,YES
CUST100331,Mariam Fouad,SYN546931430961,Mariam Fouad,YES
CUST100332,Sara Abdallah,SYN582839131377,Sara Abdallah,YES
CUST100333,Aya Youssef,SYN968874358133,Aya Youssef,YES
CUST100334,Mona Salem,SYN967221920999,Mona Salem,YES
CUST100335,Aya Mourad,SYN870077909532,Aya Mourad,YES
CUST100336,Abdelrahman Mansour,SYN268848363488,Abdelrahman Mansour,YES
CUST100337,Sara Mahmoud,SYN634845424871,Sara Mahmoud,YES
CUST100338,Youssef Omar,SYN890332682189,Youssef Omar,YES
CUST100339,Abdelrahman Abdallah,SYN437017542804,Abdelrahman Abdallah,YES
CUST100340,Karim Salem,SYN190995549342,Karim Salem,YES
CUST100341,Ali Hassan,SYN829866612015,Ali Hassan,YES
CUST100342,Karim Ali,SYN533587196225,Karim Ali,YES
CUST100343,Heba Salem,SYN607953412323,Heba Salem,YES
CUST100344,Abdullah Hassan,SYN983929866686,Abdullah Hassan,YES
CUST100345,Ali Mourad,SYN646490287444,Ali Mourad,YES
CUST100346,Abdelrahman Youssef,SYN482481447099,Abdelrahman Youssef,YES
CUST100347,Abdullah Fouad,SYN432985931062,Abdullah Fouad,YES
CUST100348,Omar Omar,SYN475857363388,Omar Omar,YES
CUST100349,Omar Salem,SYN206559174860,Omar Salem,YES
CUST100350,Heba Ahmed,SYN815275502575,Heba Ahmed,YES
CUST100351,Mohamed Mohamed,SYN853945172368,Mohamed Mohamed,YES
CUST100352,Ali Ibrahim,SYN355957421116,Ali Ibrahim,YES
CUST100353,Nour Kamal,SYN373416956568,Nour Kamal,YES
CUST100354,Abdelrahman Hussein,SYN886900830701,Abdelrahman Hussein,YES
CUST100355,Abdelrahman Ibrahim,SYN121573319975,Abdelrahman Ibrahim,YES
CUST100356,Omar Mohamed,SYN568411699390,Omar Mohamed,YES
CUST100357,Esraa Hassan,SYN517308143213,Esraa Hassan,YES
CUST100358,Ahmed Ali,SYN721114092620,Ahmed Ali,YES
CUST100359,Khaled Mohamed,SYN247052530134,Khaled Mohamed,YES
CUST100360,Aya Ali,SYN701497666715,Aya Ali,YES
CUST100361,Esraa Ali,SYN439060607087,Esraa Ali,YES
CUST100362,Youssef Mohamed,SYN656843300352,Youssef Mohamed,YES
CUST100363,Esraa Hussein,SYN136085508885,Esraa Hussein,YES
CUST100364,Mahmoud Salem,SYN515554477466,Mahmoud Salem,YES
CUST100365,Heba Ahmed,SYN570025804584,Heba Ahmed,YES
CUST100366,Mona Mahmoud,SYN292893762569,Mona Mahmoud,YES
CUST100367,Sara Abdallah,SYN225661288761,Sara Abdallah,YES
CUST100368,Mohamed Mourad,SYN269626872711,Mohamed Mourad,YES
CUST100369,Yasmine Mansour,SYN409726970257,Yasmine Mansour,YES
CUST100370,Sara Kamal,SYN187129134374,Sara Kamal,YES
CUST100371,Mostafa Mohamed,SYN952587816156,Mostafa Mohamed,YES
CUST100372,Nour Abdallah,SYN464494655346,Nour Abdallah,YES
CUST100373,Mariam Abdallah,SYN828072642256,Mariam Abdallah,YES
CUST100374,Esraa Kamal,SYN976975410797,Esraa Kamal,YES
CUST100375,Ahmed Mourad,SYN172661752002,Ahmed Mourad,YES
CUST100376,Khaled Mourad,SYN686502521141,Khaled Mourad,YES
CUST100377,Khaled Omar,SYN884268178067,Khaled Omar,YES
CUST100378,Mariam Ibrahim,SYN670810990570,Mariam Ibrahim,YES
CUST100379,Ali Salem,SYN486123509221,Ali Salem,YES
CUST100380,Mohamed Mourad,SYN487968721874,Mohamed Mourad,YES
CUST100381,Abdullah Mahmoud,SYN132308997406,Abdullah Mahmoud,YES
CUST100382,Abdullah Mohamed,SYN581140676160,Abdullah Mohamed,YES
CUST100383,Youssef Kamal,SYN994188697108,Youssef Kamal,YES
CUST100384,Mohamed Mohamed,SYN962836773374,Mohamed Mohamed,YES
CUST100385,Mahmoud Hussein,SYN136359305957,Mahmoud Hussein,YES
CUST100386,Ahmed Salem,SYN735217303266,Ahmed Salem,YES
CUST100387,Aya Mahmoud,SYN371588380027,Aya Mahmoud,YES
CUST100388,Esraa Kamal,SYN912690238065,Esraa Kamal,YES
CUST100389,Omar Kamal,SYN140603271138,Omar Kamal,YES
